Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Fridjonsson, Einar O",91.67,12,102,261,0.93235,5,3,21.75,8,2,1,0,4,H-9226-2014,0.0,0000-0001-8365-6002
"Stanwix, Paul L.",91.67,12,102,261,1.2121166666666667,9,1,21.75,8,7,7,0,4,H-5883-2014,0.0,0000-0002-7069-8569
"Obreschkow, Danail",100.0,3,105,260,3.530033333333334,2,0,86.66666666666667,3,3,0,0,1,DWQ-7158-2022,0.0,0000-0002-1527-0762
"Metaxas, Peter J",91.67,12,106,259,1.5625666666666669,10,2,21.583333333333332,9,5,5,0,0,D-3695-2011,0.0,0000-0002-4236-7543
"Jones, Isabelle",100.0,11,107,251,1.3706909090909092,9,0,22.818181818181817,9,10,0,0,0,ABA-9006-2020,0.0,0000-0001-5705-3312
"Alkhatib, Sami E.",100.0,7,108,249,1.9249142857142858,6,0,35.57142857142857,6,2,0,0,1,DRU-1320-2022,0.0,0000-0002-6248-6726
"Orszaghova, Jana",93.33,15,109,243,0.9314800000000001,12,3,16.2,8,9,1,0,0,GDQ-7641-2022,0.0,0000-0003-2722-1340
"Ord, Alison",88.24,17,109,243,0.7820588235294118,8,0,14.294117647058824,8,17,0,0,0,H-5569-2014,0.0,0000-0003-4701-2036
"Hobbs, B. E.",93.33,15,111,239,0.7846333333333334,7,0,15.933333333333334,8,15,0,0,0,DXA-5628-2022,0.0,0000-0002-7638-638X
"Pattiaratchi, Charitha B",100.0,4,112,238,2.2430250000000003,4,0,59.5,4,2,0,0,0,E-6916-2011,0.0,0000-0003-2229-6183
"Reid, David",70.27,37,112,238,0.687391891891892,11,17,6.4324324324324325,8,6,2,0,0,JKO-2217-2023,0.0,0000-0002-1867-1676
"Graham, Brendan F",100.0,12,114,237,0.8741166666666667,7,2,19.75,9,1,3,0,2,C-2399-2013,0.0,0000-0002-9033-4949
"Efthymiou, Michalakis",94.44,18,115,232,0.6509333333333334,13,3,12.88888888888889,9,9,4,0,0,CPE-0790-2022,0.0,0000-0002-5250-3123
"Kuo, Matthew",100.0,5,116,229,1.82118,4,0,45.8,4,2,0,0,0,FHS-6190-2022,0.0,
"Wang, Yang",100.0,9,116,229,1.254788888888889,7,0,25.444444444444443,8,8,0,0,0,EFB-9423-2022,0.0,
"Kennedy, Kelsey M.",100.0,1,116,229,2.1405000000000003,1,1,229.0,1,0,0,0,7,FZZ-4811-2022,0.0,0000-0001-9478-6064
"Muselin, Gojko",100.0,1,119,228,9.9951,1,0,228.0,1,0,0,1,0,DJR-8015-2022,100.0,
"Wang, Jianan",86.96,23,120,227,1.7752695652173913,10,12,9.869565217391305,8,5,1,1,0,P-4094-2019,4.35,0000-0001-9413-3266
"Martyniuk, Mariusz",100.0,18,121,222,0.5548888888888889,11,5,12.333333333333334,8,3,0,0,3,C-2420-2013,0.0,0000-0002-2656-4256
"Allwood, Gary",100.0,4,122,218,1.19825,1,4,54.5,4,0,0,0,0,EJE-7333-2022,0.0,
"Lim, Vincent W. S.",88.89,9,122,218,1.7358,8,2,24.22222222222222,8,4,5,0,2,FJE-9922-2022,0.0,
"Hassan, Ghulam Mubashar",85.71,14,124,213,1.2530428571428571,8,0,15.214285714285714,8,6,0,0,0,KBR-7528-2024,0.0,0000-0002-6636-8807
"Wu, Linmei",83.33,6,125,210,1.5467166666666667,4,0,35.0,5,5,0,0,0,FYI-6155-2022,0.0,0000-0002-9633-7411
"Antoszewski, Jarek",90.48,21,126,209,0.39757619047619047,9,2,9.952380952380953,9,7,1,0,2,FWX-7727-2022,0.0,0000-0002-6663-9961
"Li, Gang",100.0,3,127,203,2.532166666666667,3,0,67.66666666666667,3,3,2,0,0,K-4905-2012,0.0,
"Sercombe, Tim",100.0,4,128,202,2.898175,3,1,50.5,3,2,0,0,0,H-5799-2014,0.0,0000-0001-6663-8929
"Gruner, Richard",100.0,3,128,202,2.3131,2,2,67.33333333333333,3,1,0,0,0,L-6642-2019,0.0,0000-0002-5176-8584
"Siddique, Kadambot H.M.",91.67,12,130,196,2.3553916666666668,11,0,16.333333333333332,8,12,0,1,0,B-3462-2011,8.33,0000-0001-6097-4235
"Bransby, M. F.",86.36,22,131,195,0.8814181818181819,15,4,8.863636363636363,10,16,0,0,0,FYQ-4155-2022,0.0,0000-0001-8444-5995
"Kurniawan, Adi",93.33,15,132,192,1.62978,7,2,12.8,7,9,0,0,2,G-3307-2013,0.0,0000-0002-9176-3702
"Miller, Karol",93.75,16,133,187,0.5341250000000001,7,1,11.6875,8,9,0,0,0,GCF-3137-2022,0.0,0000-0002-6577-2082
"Ghisalberti, Marco",100.0,8,134,186,1.0343625,8,1,23.25,6,4,0,0,0,KHC-2862-2024,0.0,0000-0002-6690-8922
"Salim, Mohammad",60.0,5,134,186,1.5117,1,1,37.2,2,2,0,0,0,DTU-6947-2022,0.0,0000-0002-4428-4872
"Lesmana, Herry",100.0,6,136,182,1.8401333333333334,5,0,30.333333333333332,6,6,0,0,0,AHE-1606-2022,0.0,0000-0002-3362-7892
"Naseem, Imran",90.0,20,137,179,0.5597650000000001,3,0,8.95,6,20,0,0,1,KBM-7348-2024,0.0,
"Pomeroy, Andrew",100.0,2,138,177,3.2533000000000003,2,0,88.5,2,2,0,0,0,A-5946-2017,0.0,0000-0002-8948-4579
"Coles, Neil Andrew",100.0,4,139,175,1.59895,4,0,43.75,4,4,0,0,0,D-4027-2011,0.0,0000-0003-0289-4098
"Wittek, A",100.0,14,140,172,0.6739142857142858,8,0,12.285714285714286,7,9,0,0,0,GBF-7831-2022,0.0,0000-0001-9780-8361
"Zheng, Jingbin",100.0,9,141,166,0.7705555555555557,2,0,18.444444444444443,7,5,1,0,0,DUX-3010-2022,0.0,0000-0001-6960-0491
"Vahabli, Ebrahim",100.0,4,142,165,1.6419000000000001,0,0,41.25,4,0,0,0,0,H-3830-2019,0.0,0000-0002-8812-3923
"LEE, KK",100.0,2,142,165,2.99515,2,1,82.5,2,0,0,0,0,FEB-5807-2022,0.0,
"Xu, Jiake",100.0,2,144,162,3.6879,2,0,81.0,2,2,0,0,1,FYW-5002-2022,0.0,0000-0003-2021-8309
"Beringer, Jason",100.0,2,145,161,2.9352500000000004,1,0,80.5,2,1,0,0,0,B-8528-2008,0.0,0000-0002-4619-8361
"Thompson, Sally",88.89,9,145,161,0.846311111111111,9,0,17.88888888888889,5,6,0,0,0,J-7615-2012,0.0,0000-0003-4618-5066
"Ciancio, Daniela",100.0,7,147,157,0.9026571428571428,3,0,22.428571428571427,5,5,0,0,0,AAE-5224-2022,0.0,
"Siahvashi, Arman",100.0,12,148,156,1.1683083333333333,10,1,13.0,8,8,5,0,0,GHC-4508-2022,0.0,0000-0001-9616-3186
"Lamsal, Dipesh",100.0,5,148,156,1.1324,3,0,31.2,5,5,0,0,0,DCO-8249-2022,0.0,
"Joldes, Grand R.",91.67,12,150,155,0.5592416666666667,7,1,12.916666666666666,7,5,0,0,0,DTZ-3290-2022,0.0,0000-0003-0496-5785
"Ditta, Allah",100.0,6,151,154,0.72765,1,0,25.666666666666668,5,6,0,0,0,J-1931-2019,0.0,0000-0003-1745-4757
"De, Debashis",81.48,27,151,154,0.8195518518518519,6,13,5.703703703703703,8,13,0,0,0,DTV-6077-2022,0.0,0000-0002-9688-9806
