Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Yan, Wenyi",100.0,27,58,730,1.220725925925926,13,5,27.037037037037038,15,20,2,0,0,ABC-7161-2021,0.0,0000-0001-9006-6270
"Yu, Wenhua",92.5,40,59,727,0.79599,10,14,18.175,13,18,1,0,0,JZW-2818-2024,0.0,0000-0002-4733-8610
"McCarthy, David T.",100.0,24,60,709,1.198275,21,12,29.541666666666668,16,6,0,0,2,HFM-9893-2022,0.0,0000-0001-8845-6501
"Wang, Huanting",100.0,14,61,702,2.566928571428572,12,2,50.142857142857146,11,8,0,2,0,G-8399-2011,14.29,0000-0002-2070-3446
"Wang, Hao",89.47,19,62,686,2.508647368421053,15,2,36.10526315789474,13,14,1,0,1,I-5897-2019,0.0,0000-0001-5182-7938
"zheng, nan",75.0,12,63,660,2.273966666666667,9,0,55.0,8,9,0,0,1,P-9526-2016,0.0,0000-0003-4117-435X
"Bui, Ha H.",96.55,29,64,657,1.4818896551724139,22,15,22.655172413793103,15,12,0,0,0,AAW-8926-2021,0.0,0000-0001-8071-5433
"Lu, Ye",95.24,21,65,654,1.6243285714285716,15,4,31.142857142857142,12,13,0,0,0,I-9999-2012,0.0,0000-0002-2319-7681
"Daly, Edoardo",94.44,18,66,642,1.161288888888889,16,3,35.666666666666664,12,8,0,0,0,GDL-9893-2022,0.0,0000-0002-2938-8374
"Bui, Ha H. H.",100.0,13,67,640,1.9785615384615387,8,5,49.23076923076923,12,6,0,0,2,F-6602-2011,0.0,0000-0001-8071-5433
"Raman, R. K. Singh",100.0,16,67,640,8.212643750000002,9,3,40.0,13,7,1,0,0,DNN-2001-2022,0.0,
"Khorasany, Mohsen",100.0,20,69,639,2.57796,15,4,31.95,12,11,0,1,1,AAE-6733-2019,5.0,0000-0002-1444-5970
"Tao, Shanwen",100.0,8,70,627,1.4596,4,0,78.375,8,6,0,2,0,O-6664-2018,25.0,0000-0001-6133-992X
"Barlow, Chris",100.0,1,71,619,36.464200000000005,0,1,619.0,1,0,0,1,2,EMP-5466-2022,100.0,
"Hayat, Munawar",100.0,13,72,612,3.779069230769231,13,3,47.07692307692308,10,9,2,1,5,AAU-8658-2020,7.69,0000-0002-2706-5985
"Hoadley, Andrew F",100.0,23,73,608,1.084891304347826,19,4,26.434782608695652,14,11,0,0,0,B-8266-2013,0.0,0000-0001-9605-6858
"Najafi-Ghalelou, Afshin",100.0,11,74,605,2.735627272727273,11,4,55.0,11,3,0,0,0,P-4781-2018,0.0,0000-0001-6577-2712
"Lee, Vincent CS",100.0,11,75,597,5.711663636363637,10,1,54.27272727272727,8,8,0,2,0,ABE-1515-2021,18.18,0000-0001-5976-4601
"Sohal, Amrik",100.0,16,76,590,1.9331562500000001,12,2,36.875,9,11,0,1,0,IOJ-9231-2023,6.25,
"Clark, Leon",100.0,14,76,590,1.6797000000000002,10,1,42.142857142857146,11,12,0,0,0,GAK-7552-2022,0.0,0000-0001-9359-7309
"Singh, Abhishek Kumar",96.08,51,78,588,0.47815294117647056,13,7,11.529411764705882,15,0,0,0,0,L-9896-2019,0.0,0000-0001-7291-1565
"Phan, Raphael C.-W.",100.0,15,79,585,1.6476933333333335,7,7,39.0,9,6,0,0,0,I-7266-2013,0.0,0000-0001-7448-4595
"Leitner, Juxi",90.0,10,79,585,3.82367,7,2,58.5,7,7,3,1,3,AAV-6230-2021,10.0,0000-0003-1319-5073
"Tomus, D",100.0,5,81,582,4.89304,2,1,116.4,5,1,0,1,2,GFD-9383-2022,20.0,
"MA, Xin",100.0,9,82,578,2.2569333333333335,9,1,64.22222222222223,8,8,0,1,0,AAE-9693-2021,11.11,0000-0001-9117-9787
"Dai, Baiqian",100.0,23,83,566,1.1625,19,0,24.608695652173914,13,18,4,0,0,ABA-9739-2020,0.0,0000-0001-6741-0985
"Duke, Daniel J",95.45,22,84,561,1.111468181818182,11,2,25.5,13,15,2,0,0,HIZ-9257-2022,0.0,0000-0001-8692-6493
"Sohal, Amrik S.",85.71,7,85,556,2.929057142857143,2,0,79.42857142857143,6,4,0,0,0,DSC-5717-2022,0.0,
"Zafaranloo, Ali",100.0,2,86,546,16.081950000000003,1,1,273.0,2,1,0,1,0,CHZ-0361-2022,50.0,
"Patchava, Raviteja",100.0,3,87,545,9.162733333333334,3,1,181.66666666666666,3,1,0,2,20,Y-9358-2019,66.67,
"Davies, Chris H J",80.0,10,88,538,2.41431,7,2,53.8,8,3,0,0,0,A-2391-2009,0.0,0000-0001-8910-7426
"Li, Y.",100.0,6,89,530,3.744866666666667,6,0,88.33333333333333,6,1,0,0,0,DCQ-4743-2022,0.0,
"Ghasemi, Amir",100.0,12,90,529,4.1353,8,5,44.083333333333336,12,7,1,1,1,JOK-3735-2023,8.33,0000-0002-3910-6828
"Guo, Baoyu",94.44,18,91,527,1.68585,9,5,29.27777777777778,10,9,0,1,1,EWD-6520-2022,5.56,
"Tang, Yunlong",94.44,18,92,511,1.8922,10,1,28.38888888888889,11,9,0,0,1,KAI-7403-2024,0.0,0000-0002-9711-3380
"Guan, Weili",100.0,21,93,507,2.9798,19,2,24.142857142857142,12,19,0,1,0,HJD-0434-2022,4.76,
"Pantelous, Athanasios",92.11,38,94,503,0.7770894736842106,22,0,13.236842105263158,13,36,1,0,0,B-3721-2014,0.0,0000-0001-5738-1471
"Walsh, Stuart D",100.0,15,95,499,1.89752,6,4,33.266666666666666,11,3,0,0,4,F-4818-2011,0.0,0000-0001-8155-4870
"Viterbo, Emanuele",100.0,14,96,498,2.124514285714286,12,1,35.57142857142857,8,8,0,1,7,F-6012-2011,7.14,0000-0002-5861-2873
"Smyth, Russell",100.0,8,97,490,3.6861125,8,1,61.25,8,5,0,1,0,AAE-1492-2019,12.5,0000-0001-6593-5462
"Wagner, Markus",100.0,12,98,489,2.3017333333333334,7,0,40.75,9,11,0,1,0,HZM-6101-2023,8.33,0000-0002-6619-6494
"Haque, Asadul",94.44,18,99,479,1.4115611111111113,8,4,26.61111111111111,12,6,0,0,0,JAF-2634-2023,0.0,0000-0002-8084-7724
"Zarbakhshnia, Navid",85.71,7,100,468,3.323857142857143,4,0,66.85714285714286,6,5,0,0,0,O-3135-2017,0.0,0000-0001-7558-7254
"Marshall, Marc",100.0,24,101,458,0.9127083333333333,21,4,19.083333333333332,14,14,0,0,0,FNY-2378-2022,0.0,
"ZHOU, Jin",100.0,11,102,446,1.4183000000000001,10,3,40.54545454545455,9,8,0,0,0,E-4676-2017,0.0,0000-0001-7908-2309
"Kamruzzaman, Liton Md",100.0,7,103,445,1.9294428571428575,3,4,63.57142857142857,7,2,0,1,0,AAG-5909-2020,14.29,0000-0001-7113-942X
"Ukwattage, Nadeesha",100.0,4,104,441,4.201225,3,0,110.25,4,2,0,0,0,EAC-9006-2022,0.0,
"Masoumi, Hossein",100.0,18,105,434,1.5025611111111112,8,4,24.11111111111111,12,10,0,0,0,GAW-7419-2022,0.0,0000-0003-4993-1108
"Kamruzzaman, Md.",93.33,15,106,429,1.6027066666666667,8,8,28.6,12,4,0,0,0,KGQ-2681-2024,0.0,0000-0001-7159-3892
"Faizal, Mohammed",100.0,14,107,427,1.3314428571428572,6,1,30.5,10,12,0,0,0,B-2529-2012,0.0,0000-0002-2094-2789
"Shehzad, Areeb",100.0,4,108,424,1.52865,2,2,106.0,4,0,0,1,1,DTL-6351-2022,25.0,
"Zhang, Haijian",95.83,24,109,417,0.8584875,11,2,17.375,10,11,1,0,1,DTR-5415-2022,0.0,0000-0003-2516-4215
"Neild, Adrian",100.0,12,110,410,1.5257416666666668,6,2,34.166666666666664,7,3,0,0,2,D-8201-2011,0.0,0000-0002-7571-2526
"Ge, Zongyuan",100.0,11,111,407,3.413463636363636,8,1,37.0,9,10,2,1,1,FYW-7565-2022,9.09,0000-0002-5880-8673
"Rudman, Murray",95.65,23,112,402,0.8996391304347826,17,7,17.47826086956522,13,9,0,0,0,C-6737-2008,0.0,0000-0002-5649-4180
"Liyanage, Avanthi",100.0,6,113,399,2.8784833333333335,3,0,66.5,6,4,0,1,1,AAC-7226-2020,16.67,
"Alaghmand, Sina",90.0,10,114,396,2.12763,8,1,39.6,9,9,0,0,0,DUC-5148-2022,0.0,0000-0002-5568-4732
"Brown, Adam",100.0,7,114,396,1.924357142857143,5,3,56.57142857142857,6,3,1,0,0,ENM-1598-2022,0.0,
"Hyndman, Rob",100.0,9,116,395,2.0964666666666667,7,1,43.888888888888886,6,7,0,0,2,A-2268-2008,0.0,0000-0002-2140-5352
"Herath, Samitha",100.0,2,116,395,8.0952,2,1,197.5,2,1,0,1,2,CVD-4552-2022,50.0,
"Lee, Leong Hwee",100.0,1,118,393,4.1504,1,0,393.0,1,0,0,1,0,FHW-0981-2022,100.0,
"Singh, R. K. Raman",87.5,8,119,391,2.0739625,3,5,48.875,6,1,0,0,4,JRA-2176-2023,0.0,0000-0003-3776-1658
"Bergmeir, Christoph",100.0,10,119,391,2.75297,6,1,39.1,7,6,1,1,0,Q-9911-2019,10.0,0000-0002-3665-9021
"Chen, Bernard",100.0,16,121,389,1.0791000000000002,7,4,24.3125,9,2,2,1,0,DVE-7230-2022,6.25,0000-0001-6556-1675
"Sheard, Gregory J",93.75,32,121,389,0.653340625,26,0,12.15625,12,14,0,0,0,B-7028-2009,0.0,0000-0003-0836-1524
"Srivatsa, Srikanth Chakravartula",100.0,7,123,388,1.997842857142857,6,2,55.42857142857143,6,2,0,0,1,CDO-9599-2022,0.0,
"Kim, Dong-Hyun",100.0,28,124,385,0.6517071428571429,7,12,13.75,8,11,7,0,4,AAH-3043-2020,0.0,0000-0001-6654-3268
"Raman, R. K. Singh",100.0,11,124,385,1.2176363636363638,5,0,35.0,9,8,0,0,1,DPK-5981-2022,0.0,
"Atkinson, Callum",86.36,22,126,384,0.800740909090909,8,0,17.454545454545453,10,15,0,0,1,A-3820-2010,0.0,0000-0003-3726-2103
"Khan, Shakhaoath",100.0,7,127,382,3.080914285714286,3,0,54.57142857142857,7,7,0,0,0,B-1438-2019,0.0,0000-0003-3697-7588
"Loy, Adrian",100.0,5,128,381,3.5788800000000003,5,1,76.2,5,4,0,0,0,AAA-4517-2019,0.0,0000-0003-3275-845X
"Jennings, Paul",90.0,10,129,379,1.5191000000000001,6,3,37.9,6,3,1,0,0,AAF-2016-2019,0.0,0000-0002-5605-7589
"Tanksale, Akshat",100.0,9,130,375,1.2415222222222222,8,1,41.666666666666664,5,1,0,1,0,A-4481-2009,11.11,0000-0002-7087-0912
"Kibret, Behailu",100.0,8,130,375,1.1248375,5,2,46.875,7,0,0,0,83,DWB-1505-2022,0.0,0000-0001-7036-6356
"Blackburn, Hugh M",100.0,25,132,373,0.613004,21,2,14.92,12,17,0,0,0,C-5898-2008,0.0,0000-0003-3469-5237
"Cheema, Muhammad Ali Masood",93.33,15,133,367,1.3504,15,2,24.466666666666665,10,10,1,0,1,AAC-9548-2020,0.0,0000-0002-0091-3593
"Huynh, Thanh Tung",100.0,7,133,367,3.3574285714285717,0,4,52.42857142857143,7,3,0,1,0,EZP-7500-2022,14.29,
"Walker, Jeffrey P",93.75,16,135,366,0.95716875,14,2,22.875,12,6,1,0,0,D-2624-2009,0.0,0000-0002-4817-2712
"Zabihi, Sasan",100.0,10,136,355,2.18934,6,0,35.5,8,10,0,0,1,EIW-5227-2022,0.0,
"De Girolamo, A.",100.0,13,137,352,1.2138076923076924,10,0,27.076923076923077,11,8,0,0,0,COI-8879-2022,0.0,
"Bush, Richard G",100.0,8,138,350,1.990925,8,0,43.75,8,8,0,0,0,G-3018-2011,0.0,
"Babaeian, Fatemeh",87.5,8,139,349,2.5928375,3,0,43.625,5,1,0,1,0,U-9516-2019,12.5,
"Nadeem, Humayun",100.0,4,140,342,1.5805,4,0,85.5,4,1,0,1,1,FQE-4216-2022,25.0,
"Liebman, Ariel",100.0,9,140,342,2.0477000000000003,6,3,38.0,7,5,0,0,0,K-3871-2019,0.0,0000-0002-5679-4140
"Zhang, C. S.",100.0,9,142,340,1.4922,4,1,37.77777777777778,7,6,0,0,0,DVM-1669-2022,0.0,0000-0001-9407-7313
"YEH, Pat J. -F.",100.0,9,143,339,2.2884111111111114,9,0,37.666666666666664,8,9,0,0,0,B-2758-2011,0.0,0000-0001-7629-3362
"Loy, Adrian Chun Minh",100.0,12,144,336,2.7811083333333335,11,0,28.0,8,12,3,0,0,AAD-9640-2020,0.0,0000-0003-3275-845X
"Ernst, Andreas T",91.3,23,145,332,0.677695652173913,13,13,14.434782608695652,11,8,2,0,0,B-4298-2008,0.0,0000-0002-1101-8359
"wu, fan",100.0,6,146,328,2.656283333333333,4,1,54.666666666666664,5,1,0,0,1,ABE-4575-2020,0.0,0000-0002-5011-5004
"Yeh, Chung-Hsing",100.0,12,147,326,1.352191666666667,10,0,27.166666666666668,11,10,0,0,1,AAF-2816-2020,0.0,0000-0002-2938-1455
"Dargaville, Roger",100.0,12,148,324,1.7303583333333334,12,1,27.0,9,8,0,0,0,DVC-2943-2022,0.0,0000-0002-0103-5198
"Azim, M. Imran",93.33,15,149,322,2.13914,10,1,21.466666666666665,8,11,0,0,0,HPI-3739-2023,0.0,
"Kuhlmann, Levin",100.0,9,150,320,1.4590666666666667,7,1,35.55555555555556,7,8,0,1,1,P-8769-2019,11.11,0000-0002-5108-6348
"Corcoran, Bill",95.24,21,150,320,0.8070619047619048,19,1,15.238095238095237,11,13,2,0,0,AAQ-6585-2020,0.0,0000-0001-8653-3999
"Nogueira, Petronio",94.44,18,152,315,1.5579500000000002,15,0,17.5,10,15,0,0,0,AAH-4737-2020,0.0,0000-0001-7831-8121
"Habiba, Umma",100.0,2,152,315,6.49505,1,0,157.5,2,1,0,1,0,HKO-0683-2023,50.0,
"Al-Saadi, Saad",100.0,2,154,307,6.1891,2,0,153.5,2,0,0,0,0,L-8553-2019,0.0,
"Carroll, Jay D",100.0,5,155,306,2.3193799999999998,4,5,61.2,5,0,0,0,0,K-2720-2012,0.0,0000-0001-9644-5861
"Hutchinson, Christopher",100.0,8,156,305,2.23665,6,2,38.125,7,2,1,0,0,GEC-7308-2022,0.0,0000-0003-1025-4445
"Jackson, W. Roy",100.0,19,156,305,0.7356842105263158,17,2,16.05263157894737,11,11,0,0,0,JCT-9025-2023,0.0,
"Zhao, Jian",100.0,15,158,302,1.548886666666667,11,3,20.133333333333333,9,12,0,1,0,CKK-0818-2022,6.67,
"Mathew, Joseph",80.0,10,159,301,0.45178,4,4,30.1,4,2,0,1,0,JCF-3240-2023,10.0,0000-0002-4602-170X
"Huang, Aijun",100.0,12,160,299,2.0693083333333333,9,2,24.916666666666668,10,6,2,0,0,DVR-6977-2022,0.0,0000-0002-9795-2168
"Deguchi, Kengo",100.0,27,161,296,0.4412185185185185,27,0,10.962962962962964,11,12,0,0,0,GON-4255-2022,0.0,
"Zou, Haowen",100.0,2,161,296,11.6148,2,0,148.0,2,2,0,2,0,ITC-9428-2023,100.0,
"Ivanovski, Kris",100.0,4,161,296,6.0043750000000005,4,3,74.0,4,0,0,1,0,GBR-6370-2022,25.0,0000-0003-2429-2549
"Premaratne, Malin",100.0,5,164,291,2.86972,4,0,58.2,5,5,0,1,2,GCJ-7586-2022,20.0,0000-0003-1561-7612
"Brown, David",76.92,13,165,287,1.1249615384615386,8,6,22.076923076923077,7,2,0,1,3,HVI-6559-2023,7.69,
"Wu, Taiyang",100.0,5,166,286,2.46776,4,2,57.2,4,0,0,0,5,GCO-5208-2022,0.0,0000-0003-3402-2614
"Wilson, Christopher",91.67,12,167,283,0.9992916666666667,3,5,23.583333333333332,7,3,2,0,6,KFA-5198-2024,0.0,
"Hu, Yanan",100.0,14,168,280,1.22975,6,6,20.0,8,2,0,0,0,JVB-3359-2023,0.0,0000-0003-1794-7789
"Parthiban, R",88.89,18,169,279,0.6982666666666666,5,0,15.5,10,11,0,0,0,A-4999-2008,0.0,0000-0003-0983-9796
"Allahyari, Hamed",100.0,8,170,277,1.4157250000000001,4,4,34.625,7,3,0,0,0,J-1008-2019,0.0,
"Gherardi, Riccardo",75.0,4,170,277,2.889625,3,1,69.25,3,3,4,0,7,CQH-2898-2022,0.0,
