Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Sauri Lavieri, Patricia",100.0,10,59,629,2.97094,4,0,62.9,9,9,0,1,0,AAD-1409-2019,10.0,0000-0002-9323-832X
"Nirmalathas, Ampalavanapillai",89.29,28,60,623,1.3585428571428573,21,7,22.25,13,10,5,0,8,B-2366-2013,0.0,0000-0001-7328-5359
"Talei, Mohsen",100.0,35,61,614,0.9524514285714285,28,3,17.542857142857144,13,19,1,0,0,F-8795-2016,0.0,0000-0001-5923-2461
"Bui, Dung",100.0,8,62,603,5.915612500000001,7,0,75.375,7,3,0,2,0,KCL-9232-2024,25.0,0000-0001-9105-7157
"Yang, Yi",96.43,28,63,592,1.1270392857142857,24,2,21.142857142857142,11,18,8,0,0,J-9692-2017,0.0,0000-0003-4145-5039
"Ellis, Amanda V",100.0,10,64,583,2.15946,9,3,58.3,6,4,0,0,0,AAD-3450-2019,0.0,0000-0002-0053-5641
"da Silva, Gabriel",100.0,7,65,582,3.116371428571429,6,0,83.14285714285714,7,5,0,0,2,B-2040-2009,0.0,0000-0003-4284-4474
"Otto, Kevin",100.0,16,66,580,1.5094,7,2,36.25,12,14,4,0,0,H-3637-2018,0.0,0000-0003-4961-7696
"C. Klewicki, Joseph",93.1,29,67,579,0.8886827586206896,22,1,19.96551724137931,13,20,1,0,0,GDT-8390-2022,0.0,0000-0002-4921-3272
"Alivand, Masood S.",100.0,16,68,574,2.2044125,16,3,35.875,13,9,0,0,0,DWJ-2114-2022,0.0,0000-0002-3391-914X
"Xiao, Penny",100.0,15,69,557,1.6877533333333334,13,2,37.13333333333333,14,10,3,0,4,EEQ-9816-2022,0.0,
"Rajabifard, Abbas",95.65,23,70,553,1.1962478260869565,10,6,24.043478260869566,12,9,0,0,2,D-1818-2015,0.0,0000-0002-4256-3173
"Pournader, Mehrdokht",100.0,8,71,548,1.9707375,6,2,68.5,6,6,0,1,0,JXN-8867-2024,12.5,
"Wasim, Muhammad",95.65,23,72,524,1.928904347826087,6,9,22.782608695652176,12,9,0,1,0,DZA-2768-2022,4.35,0000-0002-3900-7985
"Duffield, Colin F",100.0,28,73,510,1.004275,10,4,18.214285714285715,13,13,0,0,0,E-7522-2015,0.0,0000-0001-6497-7759
"Mhanna, Sleiman",100.0,14,74,505,2.3014642857142857,11,2,36.07142857142857,11,3,0,0,1,AAU-4855-2021,0.0,
