Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Tran, Diana N. H.",100.0,4,126,314,3.490775,3,1,78.5,4,1,0,0,3,EDV-0209-2022,0.0,
"Zhang, Daotong",100.0,8,126,314,3.665525,7,6,39.25,7,1,0,2,0,HZH-0585-2023,25.0,
"Ho, Siu Wai",80.0,5,126,314,2.42262,5,1,62.8,4,3,0,0,3,GBA-9212-2022,0.0,0000-0002-8630-494X
"Omrany, Hossein",100.0,7,129,313,2.0899428571428573,4,1,44.714285714285715,6,4,0,0,0,GAJ-6134-2022,0.0,0000-0002-4744-5088
"Babar, Muhammad Ali",100.0,9,130,312,0.8319222222222222,4,5,34.666666666666664,6,4,0,0,3,CEY-5194-2022,0.0,0000-0001-9696-3626
"Thyer, Mark A",100.0,12,131,308,1.1475083333333334,11,6,25.666666666666668,9,2,1,0,0,A-9630-2011,0.0,0000-0002-2830-516X
"Karakus, Murat",100.0,8,132,293,1.7612875000000001,5,2,36.625,8,4,0,0,0,A-9517-2011,0.0,0000-0001-6701-1888
"Malekjamshidi, Zahra",100.0,12,132,293,1.2821166666666668,10,8,24.416666666666668,9,1,0,0,0,AAC-2031-2019,0.0,0000-0002-5951-620X
"Chen, Hao",100.0,6,132,293,6.189,6,1,48.833333333333336,6,5,0,1,1,GWR-5634-2022,16.67,
"Hansen, Colin",73.33,15,135,291,0.609,7,4,19.4,9,5,0,0,0,A-8327-2008,0.0,0000-0002-1444-4716
"Qi, Yuankai",90.91,11,135,291,1.4551545454545456,9,2,26.454545454545453,7,8,0,0,0,GYE-2289-2022,0.0,0000-0003-4312-5682
"Wakil, M. A.",100.0,5,137,290,2.24172,3,0,58.0,5,2,0,0,0,DXB-6185-2022,0.0,0000-0001-5408-1705
"Pourmehran, Oveis",100.0,7,138,286,2.147257142857143,2,2,40.857142857142854,7,4,0,0,0,AAG-7592-2020,0.0,0000-0002-9564-2772
"Ertugrul, Nesimi",100.0,18,138,286,2.0101500000000003,14,5,15.88888888888889,10,8,0,0,0,EVY-1862-2022,0.0,
"Hao, Junnan",100.0,6,138,286,5.132583333333334,5,1,47.666666666666664,5,5,1,2,0,AAM-6851-2021,33.33,0000-0002-5777-7844
"Sayyafzadeh, Mohammad",92.31,13,141,279,1.0602769230769231,10,5,21.46153846153846,8,5,0,1,0,GHG-4273-2022,7.69,0000-0002-4414-372X
"Nguyen, Linh V.",92.86,14,142,275,1.7653,8,2,19.642857142857142,8,11,0,0,1,KGD-6819-2024,0.0,0000-0002-2543-2374
